danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.764,0.646,9,-9.424,0.0302,0.367,0.0,0.0849,0.877,116.141,174627,6
0.553,0.747,9,-5.432,0.0279,0.106,0.0,0.154,0.521,90.012,234307,6
0.586,0.559,4,-6.725,0.05,0.639,0.0,0.0872,0.437,177.945,167480,6
0.596,0.834,9,-4.308,0.0474,0.0563,0.0,0.0866,0.618,116.0,205200,6
0.533,0.907,11,-3.793,0.0406,0.0292,0.0,0.386,0.7,150.99,183160,6
0.403,0.711,8,-4.189,0.0569,0.137,0.0,0.109,0.801,203.803,170560,6
0.646,0.724,9,-6.96,0.0265,0.017,1.39e-06,0.153,0.54,115.984,233480,6
0.457,0.948,10,-3.364,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960,6
0.614,0.472,7,-6.626,0.0297,0.158,0.0,0.111,0.168,146.005,225693,6
0.423,0.73,9,-5.566,0.032,0.00495,1.13e-05,0.238,0.66,205.972,254467,6
0.486,0.633,9,-8.414,0.0365,0.176,0.0,0.312,0.669,162.158,190800,6
0.608,0.825,2,-6.303,0.0419,0.024,0.00656,0.346,0.454,115.049,335333,6
0.706,0.358,6,-8.331,0.0347,0.677,0.0,0.107,0.478,75.991,186240,6
0.645,0.904,2,-4.532,0.0462,0.0293,0.0,0.0834,0.671,105.97,225560,6
0.54,0.821,6,-3.789,0.0873,0.0397,0.0,0.423,0.685,148.798,180907,6
0.587,0.622,4,-5.535,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,6
0.639,0.678,7,-5.02,0.0278,0.44,1.45e-06,0.221,0.531,106.966,212133,6
0.638,0.722,9,-6.177,0.0332,0.0119,0.00808,0.189,0.469,103.017,224293,6
0.661,0.751,7,-2.909,0.0481,0.0571,0.0,0.105,0.875,109.995,190187,6
0.692,0.809,2,-5.935,0.0255,0.1,9.77e-05,0.185,0.927,104.023,263387,6
0.677,0.724,2,-8.992,0.0245,0.143,0.000101,0.158,0.697,90.392,212640,6
